Name,G,W,L,SV,HLD,HP,CG,SHO,NHB,WPCT,BF,IP,HA,HRA,BB,IBB,HBP,SO,WP,BK,R,ER,ERA,Hand,WHIP,Team
アダメス,11,0,1,0,3,3,0,0,0,0.0,40,9.333333333333334,10,2,4,0,0,4,0,0,7,7,6.75,Right,1.5,読売ジャイアンツ
池田　駿,2,0,0,0,0,0,0,0,0,0.0,6,1.0,2,1,1,0,0,1,0,0,2,2,18.0,Left,3.0,読売ジャイアンツ
今村　信貴,17,3,2,0,0,0,0,0,0,0.6,349,81.66666666666667,82,9,26,1,8,54,1,0,39,37,4.08,Left,1.322,読売ジャイアンツ
大江　竜聖,8,0,0,0,1,1,0,0,0,0.0,49,10.666666666666666,13,3,3,1,0,7,1,0,9,8,6.75,Left,1.5,読売ジャイアンツ
大竹　寛,32,4,0,0,8,12,0,0,0,1.0,111,26.0,26,2,8,2,0,24,1,0,9,8,2.77,Right,1.308,読売ジャイアンツ
鍵谷　陽平,27,0,2,0,6,6,0,0,0,0.0,117,27.0,21,4,18,3,0,11,0,0,11,9,3.0,Right,1.444,読売ジャイアンツ
クック,13,0,2,6,0,0,0,0,0,0.0,67,15.0,19,2,6,0,0,9,2,0,8,8,4.8,Right,1.667,読売ジャイアンツ
鍬原　拓也,15,0,1,0,2,2,0,0,0,0.0,80,19.0,17,4,4,0,2,16,1,0,11,10,4.74,Right,1.105,読売ジャイアンツ
坂本　工宜,2,0,0,0,0,0,0,0,0,0.0,12,2.0,5,0,0,0,1,3,0,0,3,3,13.5,Right,2.5,読売ジャイアンツ
桜井　俊貴,29,8,6,0,0,1,0,0,0,0.571,472,108.33333333333333,109,12,42,0,4,82,1,0,53,52,4.32,Right,1.394,読売ジャイアンツ
澤村　拓一,43,2,2,1,13,15,0,0,0,0.5,197,48.333333333333336,40,3,17,1,3,55,1,0,14,14,2.61,Right,1.179,読売ジャイアンツ
菅野　智之,22,11,6,0,0,0,3,1,1,0.647,577,136.33333333333334,138,20,32,2,3,120,0,0,65,59,3.89,Right,1.247,読売ジャイアンツ
高木　京介,55,3,1,0,10,13,0,0,0,0.75,220,54.0,51,11,13,2,0,48,1,0,23,23,3.83,Left,1.185,読売ジャイアンツ
髙田　萌生,2,0,0,0,0,0,0,0,0,0.0,22,5.0,7,0,2,1,0,7,0,0,3,3,5.4,Right,1.8,読売ジャイアンツ
髙橋　優貴,18,5,7,0,0,0,0,0,0,0.417,395,93.0,70,14,48,1,5,89,1,0,34,33,3.19,Left,1.269,読売ジャイアンツ
田口　麗斗,55,3,3,1,14,17,0,0,0,0.5,276,65.33333333333333,59,11,18,2,2,66,2,0,30,30,4.13,Left,1.179,読売ジャイアンツ
田原　誠次,25,2,2,0,5,7,0,0,0,0.5,70,16.666666666666668,14,1,7,1,0,9,1,0,8,8,4.32,Right,1.26,読売ジャイアンツ
