Name,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,BA,SLG,OBP,Hand,OPS,Team
アンダーソン,83,260,234,20,59,14,0,7,94,31,1,1,0,0,21,1,5,37,5,.252,0.402,0.327,Left,0.729,読売ジャイアンツ
相川　亮二,40,114,99,11,31,3,2,4,50,17,1,0,2,1,12,0,0,16,1,.313,0.505,0.384,Right,0.889,読売ジャイアンツ
阿部　慎之助,111,419,343,44,83,14,0,15,142,47,0,0,0,4,64,1,8,84,9,.242,0.414,0.37,Left,0.784,読売ジャイアンツ
井端　弘和,98,321,269,20,63,9,0,1,75,19,3,3,10,2,37,0,3,36,4,.234,0.279,0.331,Right,0.61,読売ジャイアンツ
隠善　智也,3,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.0,1.0,Left,2.0,読売ジャイアンツ
内海　哲也,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
大田　泰示,60,138,130,13,36,7,0,1,46,3,3,2,0,0,7,0,1,39,0,.277,0.354,0.319,Right,0.673,読売ジャイアンツ
大竹　寛,11,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
岡本　和真,17,31,28,2,6,0,0,1,9,4,2,0,0,0,2,0,1,4,3,.214,0.321,0.29,Right,0.611,読売ジャイアンツ
カステヤーノス,6,22,20,2,2,1,0,0,3,1,0,0,0,0,2,0,0,11,0,.100,0.15,0.182,Right,0.332,読売ジャイアンツ
笠原　将生,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
片岡　治大,113,411,348,42,85,13,1,10,130,36,21,9,36,0,25,0,2,36,7,.244,0.374,0.299,Right,0.673,読売ジャイアンツ
香月　良太,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
加藤　健,35,83,75,3,18,3,0,0,21,3,0,0,2,2,4,0,0,24,2,.240,0.28,0.272,Right,0.552,読売ジャイアンツ
亀井　善行,109,432,382,42,104,21,0,6,143,35,8,1,3,6,40,0,1,59,6,.272,0.374,0.338,Left,0.712,読売ジャイアンツ
金城　龍彦,36,95,90,9,21,3,0,1,27,10,1,0,1,0,3,0,1,11,0,.233,0.3,0.266,Switch,0.566,読売ジャイアンツ
小林　誠司,70,204,177,13,40,6,0,2,52,13,2,0,5,0,19,1,3,39,6,.226,0.294,0.312,Right,0.606,読売ジャイアンツ
小山　雄輝,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.250,0.25,0.25,Right,0.5,読売ジャイアンツ
坂口　真規,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
坂本　勇人,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,.269,0.401,0.353,Right,0.754,読売ジャイアンツ
實松　一成,22,39,33,5,6,0,0,1,9,3,1,0,2,0,2,0,2,9,0,.182,0.273,0.27,Right,0.543,読売ジャイアンツ
澤村　拓一,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
菅野　智之,25,60,53,0,4,1,1,0,7,2,0,0,6,0,0,0,1,21,0,.075,0.132,0.093,Right,0.225,読売ジャイアンツ
杉内　俊哉,17,28,26,1,3,0,0,0,3,2,0,0,2,0,0,0,0,9,0,.115,0.115,0.115,Left,0.23,読売ジャイアンツ
鈴木　尚広,65,22,17,22,5,1,0,1,9,4,10,1,2,0,2,0,1,4,0,.294,0.529,0.4,Switch,0.929,読売ジャイアンツ
セペダ,20,28,21,1,0,0,0,0,0,1,0,0,0,0,7,0,0,6,1,.000,0.0,0.25,Switch,0.25,読売ジャイアンツ
高木　京介,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
高木　勇人,26,48,42,1,4,1,0,0,5,0,0,0,6,0,0,0,0,21,2,.095,0.119,0.095,Right,0.214,読売ジャイアンツ
高橋　由伸,77,158,133,11,37,5,0,5,57,21,2,0,0,1,20,0,4,39,3,.278,0.429,0.386,Left,0.815,読売ジャイアンツ
田口　麗斗,13,19,16,0,2,0,0,0,2,2,0,0,3,0,0,0,0,8,1,.125,0.125,0.125,Left,0.25,読売ジャイアンツ
立岡　宗一郎,91,367,339,36,103,9,3,0,118,14,16,6,3,3,18,0,4,61,2,.304,0.348,0.343,Switch,0.691,読売ジャイアンツ
田原　誠次,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Left,0.0,読売ジャイアンツ
長野　久義,130,479,434,49,109,20,3,15,180,52,3,2,5,2,34,0,4,81,12,.251,0.415,0.31,Right,0.725,読売ジャイアンツ
辻　東倫,2,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,0.0,0.25,Left,0.25,読売ジャイアンツ
土田　瑞起,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,Right,0.0,読売ジャイアンツ
寺内　崇幸,31,29,24,6,6,0,0,0,6,3,4,0,4,0,0,0,1,6,0,.250,0.25,0.28,Right,0.53,読売ジャイアンツ
